periode,indice,indice T-1,evolution,glissemnt annuel
2023-08-01,115.7,,,
2023-07-01,115.6,115.7,0.08650519031142606,
2023-06-01,115.3,115.6,0.26019080659149796,
2023-05-01,112.4,115.3,2.5800711743772164,
2023-04-01,115.5,112.4,-2.6839826839826793,
2023-03-01,112.9,115.5,2.302922940655442,
2023-02-01,105.1,112.9,7.421503330161762,
2023-01-01,104.0,105.1,1.0576923076923022,
2022-12-01,98.3,104.0,5.798575788402852,
2022-11-01,100.0,98.3,-1.7000000000000028,
2022-10-01,98.2,100.0,1.8329938900203637,
2022-09-01,98.9,98.2,-0.7077856420626925,
2022-08-01,99.3,98.9,-0.4028197381671616,-14.17458945548834
2022-07-01,97.2,99.3,2.160493827160488,-15.916955017301026
2022-06-01,97.3,97.2,-0.10277492291880198,-15.611448395490024
2022-05-01,95.0,97.3,2.4210526315789442,-15.480427046263346
2022-04-01,96.0,95.0,-1.0416666666666665,-16.883116883116877
2022-03-01,94.3,96.0,1.8027571580063655,-16.474756421612057
2022-02-01,94.0,94.3,0.3191489361702098,-10.561370123691717
2022-01-01,94.6,94.0,-0.6342494714587678,-9.03846153846154
2021-12-01,92.6,94.6,2.1598272138228944,-5.798575788402848
2021-11-01,92.3,92.6,0.3250270855904628,-7.700000000000006
2021-10-01,91.5,92.3,0.8743169398907072,-6.822810590631367
2021-09-01,91.8,91.5,-0.326797385620912,-7.178968655207285
2021-08-01,92.5,91.8,-0.7567567567567599,-6.847935548841888
2021-07-01,92.6,92.5,-0.10799136069113857,-4.73251028806585
2021-06-01,92.2,92.6,0.43383947939261547,-5.241521068859189
2021-05-01,93.7,92.2,-1.6008537886872998,-1.3684210526315743
2021-04-01,94.0,93.7,-0.3191489361702098,-2.083333333333337
2021-03-01,93.6,94.0,0.4273504273504335,-0.7423117709438043
2021-02-01,95.8,93.6,-2.2964509394572055,1.9148936170212627
2021-01-01,96.1,95.8,-0.31217481789802,1.5856236786469413
2020-12-01,95.3,96.1,0.8394543546694619,2.9157667386609187
2020-11-01,95.8,95.3,-0.5219206680584552,3.7919826652220934
2020-10-01,96.7,95.8,-0.9307135470527463,5.683060109289628
2020-09-01,94.2,96.7,2.653927813163482,2.614379084967333
2020-08-01,96.6,94.2,-2.4844720496894324,4.432432432432432
2020-07-01,96.1,96.6,0.5202913631633715,3.7796976241900593
2020-06-01,95.8,96.1,0.3131524008350701,3.90455531453362
2020-05-01,96.3,95.8,-0.5192107995846313,2.774813233724638
2020-04-01,96.2,96.3,0.10395010395009803,2.3404255319148914
2020-03-01,96.0,96.2,0.20833333333333628,2.564102564102577
2020-02-01,96.0,96.0,0.0,0.20876826722338038
2020-01-01,96.4,96.0,-0.4149377593361055,0.3121748178980255
2019-12-01,95.9,96.4,0.5213764337851928,0.6295907660021083
2019-11-01,95.9,95.9,0.0,0.10438413361169019
2019-10-01,96.1,95.9,-0.20811654526533677,-0.6204756980351722
2019-09-01,96.1,96.1,0.0,2.0169851380042347
2019-08-01,95.2,96.1,0.9453781512604953,-1.449275362318836
2019-07-01,96.5,95.2,-1.3471502590673545,0.41623309053069324
2019-06-01,95.8,96.5,0.7306889352818402,0.0
2019-05-01,95.1,95.8,0.7360672975814962,-1.2461059190031154
2019-04-01,95.1,95.1,0.0,-1.1434511434511574
2019-03-01,96.4,95.1,-1.3485477178423353,0.4166666666666652
2019-02-01,96.6,96.4,-0.20703933747410835,0.6249999999999867
2019-01-01,98.7,96.6,-2.127659574468094,2.385892116182564
2018-12-01,98.8,98.7,-0.10121457489877968,3.023983315954104
2018-11-01,98.0,98.8,0.816326530612242,2.1897810218977964
2018-10-01,99.7,98.0,-1.705115346038117,3.7460978147762836
2018-09-01,99.2,99.7,0.5040322580645161,3.2258064516129226
2018-08-01,99.3,99.2,-0.10070493454178682,4.306722689075615
2018-07-01,99.4,99.3,-0.10060362173039086,3.0051813471502653
2018-06-01,99.2,99.4,0.2016129032258093,3.549060542797511
2018-05-01,99.1,99.2,0.10090817356206713,4.206098843322814
2018-04-01,99.1,99.1,0.0,4.206098843322814
2018-03-01,99.0,99.1,0.10101010101009526,2.6970954356846377
2018-02-01,100.8,99.0,-1.785714285714283,4.347826086956519
2018-01-01,100.7,100.8,0.09930486593842534,2.0263424518743633
2017-12-01,100.8,100.7,-0.09920634920634357,2.0242914979757165
2017-11-01,100.7,100.8,0.09930486593842534,2.7551020408163263
2017-10-01,100.7,100.7,0.0,1.0030090270812364
2017-09-01,100.7,100.7,0.0,1.5120967741935498
2017-08-01,100.5,100.7,0.19900497512438092,1.2084592145015227
2017-07-01,100.6,100.5,-0.0994035785288214,1.2072434607645732
2017-06-01,100.6,100.6,0.0,1.4112903225806273
2017-05-01,100.0,100.6,0.5999999999999943,0.908173562058523
2017-04-01,99.8,100.0,0.20040080160320925,0.7063572149344166
2017-03-01,99.5,99.8,0.30150753768843935,0.5050505050504972
2017-02-01,98.9,99.5,0.6066734074822996,-1.8849206349206282
2017-01-01,99.1,98.9,-0.2018163471241056,-1.588877855014903
2016-12-01,99.4,99.1,-0.3018108651911583,-1.388888888888884
2016-11-01,98.9,99.4,0.5055611729019212,-1.7874875868917561
2016-10-01,98.8,98.9,0.10121457489879405,-1.8867924528301994
2016-09-01,98.4,98.8,0.4065040650406417,-2.2840119165839057
2016-08-01,98.3,98.4,0.10172939979654987,-2.189054726368167
2016-07-01,98.4,98.3,-0.10162601626017126,-2.1868787276341783
2016-06-01,98.5,98.4,-0.10152284263958815,-2.0874751491053667
2016-05-01,98.5,98.5,0.0,-1.5000000000000013
